li jo e	910
li pana e	777
li toki e	671
li pali e	493
li lukin e	414
li wile e	374
li sona e	337
li moku e	227
li pilin e	224
li kama jo e	209
li pakala e	192
li lawa e	183
li jo ala e	172
li kepeken e	160
li weka e	142
li olin e	139
li sona ala e	138
li kama sona e	100
li ken pali e	91
li wile pali e	91
li pini e	90
li sitelen e	88
li wile ala e	83
li open e	82
li pona e	81
li kute e	78
li moli e	78
li alasa e	76
li lon e	76
li wile sona e	72
li sama e	70
li ken pana e	69
li telo e	67
li ken lukin e	65
li utala e	59
li wile pana e	58
li pana ala e	53
li awen e	52
li tawa e	50
li wile lukin e	46
li pali ala e	45
li seli e	44
li ante e	42
li anpa e	41
li lukin ala e	40
li kama e	39
li wile toki e	38
li jo ala jo e	38
li sona ala sona e	38
li lukin sama e	38
li toki ala e	35
li ken ala pali e	34
li lon ala e	34
li sike e	31
li pilin ala e	31
li kepeken ala e	31
li ken ala lukin e	30
li selo e	30
li wile moku e	29
li ken kepeken e	27
li ken toki e	27
li moku ala e	27
li kama jo esun e	27
li ken pakala e	26
li wile kama jo e	26
li ken lawa e	26
li lukin pali e	25
li toki suli e	25
li esun e	24
li kute ala e	23
li kama jo ike e	23
li ken e	22
li mama e	22
li anu e	22
li len e	21
li wile jo e	21
li nasa e	21
li kama jo ala e	21
li kama lukin e	20
li wile kama sona e	20
li ken sona e	19
li olin ala e	19
li ken pona e	19
li ken kama jo e	19
li ken ala toki e	18
li kalama e	18
li wile lawa e	18
li ken pilin e	18
li wile mute e	17
li ken ala kepeken e	17
li tu e	17
li kule e	17
li ken ala pana e	17
li ken ala e	17
li jo esun e	17
li ken ala pini e	16
li musi e	16
li wile kepeken e	16
li pakala ala e	16
li lukin jo e	16
li lon ala lon e	16
li wile ante e	15
li toki tawa mi e	15
li toki tawa jan <prp> e	14
li uta e	14
li toki wawa e	14
li olin mute e	14
li toki ala toki e	14
li kepeken ike e	14
li wile moli e	13
li wile ala wile e	13
li kama pali e	13
li unpa e	12
li ken ala sona e	12
li sama lukin e	12
li ken ala lawa e	12
li wile kute e	12
li wile ala toki e	12
li kama jo lon esun e	12
li wile pona e	12
li ken ala pilin e	11
li nimi e	11
li ken ala moku e	11
li pana sona e	11
li wile awen e	11
li lawa ala e	11
li moli ala e	10
li ken pini e	10
li sona kin e	10
li ala e	10
li ken open e	10
li pana ala pana e	10
li wile pini e	9
li wile weka e	9
li jo kin e	9
li sama ala e	9
li pali sin e	9
li ken moli e	9
li ken lon e	9
li ken kute e	9
li pini lukin e	9
li jo lukin e	9
li pali sama e	9
li ken weka e	9
li jo lili e	8
li pini ala e	8
li pilin ala pilin e	8
li wile ala pali e	8
li pali ala pali e	8
li kama olin e	8
li sona mute e	8
li weka ala e	8
li olin uta e	8
li pana esun e	8
li pali pona e	7
li olin kin e	7
li ken ala ken pali e	7
li ken kama e	7
li ken kama sona e	7
li open ala e	7
li suli e	7
li wile ala kute e	7
li ken ala pakala e	7
li wile wawa e	7
li ken ante e	7
li wawa e	7
li ken ala pona e	7
li moku taso e	7
li sama pali e	7
li moku mute e	6
li jaki e	6
li wile ala moku e	6
li wan e	6
li wile ala lukin e	6
li lape e	6
li toki mute e	6
li kepeken pona e	6
li lukin wawa e	6
li kama ala jo e	6
li wile open e	6
li moku ala moku e	6
li pana sin e	6
li pilin kin e	6
li ken ala kama jo e	6
li ken pali ala e	6
li luka e	6
li pana kin e	6
li toki ante e	6
li lupa e	6
li ken lukin ala e	6
li alasa esun e	6
li wile pakala e	5
li wile olin e	5
li moku lili e	5
li wile unpa e	5
li wile alasa e	5
li sewi e	5
li sitelen ala e	5
li pini pana e	5
li utala ala e	5
li ken pali pona e	5
li kama pana e	5
li pana tawa mi e	5
li pakala lili e	5
li lukin pona e	5
li sona ala kin e	5
li sona pi pona mute e	5
li ante ala e	5
li sona pona e	5
li lukin ala lukin e	5
li ken anpa e	5
li pilin sama e	5
li wile ala kepeken e	5
li tawa weka e	5
li toki sin e	5
li wile anu e	5
li pali kin e	5
li wile utala e	5
li tawa sewi e	5
li toki sama e	5
li pakala uta e	5
li wile pilin e	5
li ken luka e	5
li tawa sike e	5
li wile ala pana e	5
li kama ala sona e	5
li kama wile e	5
li lon kin e	5
li toki kin e	5
li ken ala weka e	5
li lukin lili e	4
li kama lon e	4
li ike e	4
li kama pini e	4
li wile ala jo e	4
li wile ala wile pali e	4
li suno e	4
li awen ala e	4
li sona wawa e	4
li pimeja e	4
li ken moku e	4
li telo ala e	4
li wile ala kama jo e	4
li ken ala awen e	4
li ken ala ante e	4
li pini pali e	4
li wile taso e	4
li sama lili e	4
li jo mute e	4
li ken jo e	4
li ken anu e	4
li tawa wawa e	4
li wile anpa e	4
li lukin taso e	4
li wile kama wan e	3
li ken ala jo e	3
li lawa pona e	3
li ken ala ken toki e	3
li pini pona e	3
li noka e	3
li insa e	3
li ken ala sitelen e	3
li sona lili e	3
li olin ala olin e	3
li tawa lukin e	3
li mute e	3
li olin lili e	3
li wile sitelen e	3
li ken ala open e	3
li pana tawa jan <prp> e	3
li pana pona e	3
li wile lukin sin e	3
li ken ala olin e	3
li utala wawa e	3
li sitelen sin e	3
li kiwen uta e	3
li wile kin e	3
li ken awen e	3
li lawa ala lawa e	3
li pona sin e	3
li lawa ike e	3
li toki tawa sina e	3
li ali e	3
li jo ala kin e	3
li pini moku e	3
li open pana e	3
li ken ala alasa e	3
li open pali e	3
li pali weka e	3
li lukin sama lili e	3
li wile ala pilin e	3
li wile lukin jo e	3
li kama sona ala e	3
li wile kama jo esun e	3
li kepeken ala kepeken e	3
li ken ala anu e	3
li ken ala ken kute e	3
li ken ala kute e	3
li ken ala ken lawa e	3
li wile sona taso e	3
li pali seme e	3
li linja e	3
li ken kepeken pona e	3
li ken kama sona ala e	3
li kama ala e	3
li sona lili taso e	3
li ken ala ken pana e	3
li ken lukin taso e	3
li wile pali kin e	3
li ken weka ala e	3
li toki pi kalama wawa e	3
li anpa en lawa e	3
li wile sona mute e	3
li lili e	3
li ilo toki e	3
li ken ala ken pini e	3
li weka ike e	3
li wile telo pona e	2
li wile wawa lukin e	2
li sin e	2
li pilin ante e	2
li ken musi e	2
li ken alasa e	2
li pilin wawa e	2
li kiwen e	2
li suwi e	2
li toki lili e	2
li len ala e	2
li tawa ike e	2
li tawa ala e	2
li kama suli e	2
li lukin mute e	2
li sin pali e	2
li weka musi e	2
li musi ala e	2
li ante mute e	2
li kama sewi e	2
li seli ala seli e	2
li seme e	2
li ike ala e	2
li kalama ike e	2
li wile ala sitelen e	2
li wile ala wile lukin e	2
li ken ala moli e	2
li wile mute moli e	2
li ken ala ken sitelen e	2
li ken sitelen e	2
li jo ala sin e	2
li ken kalama e	2
li sona weka e	2
li ken ala kalama e	2
li toki tawa sama e	2
li sona pali e	2
li ken ala nimi e	2
li kute pona e	2
li moku wawa e	2
li pakala sin e	2
li toki tawa ona e	2
li kalama pona mute e	2
li lukin sin e	2
li pakala ala pakala e	2
li pana tawa ona e	2
li wile kama jo lon esun e	2
li awen lukin e	2
li ken ala ken e	2
li ken tawa e	2
li sitelen ala sitelen e	2
li mama ala e	2
li kulupu e	2
li open pakala e	2
li ken selo e	2
li kalama musi e	2
li lukin tawa mi e	2
li wile kama jo sin e	2
li kepeken mute e	2
li toki taso e	2
li open kama sona e	2
li supa e	2
li lawa sin e	2
li pali pona mute e	2
li ken ala seli e	2
li kama sama e	2
li wile lukin pali e	2
li lon sin e	2
li weka ala weka e	2
li ken ala kama sona e	2
li ken ala tawa e	2
li lete sama e	2
li pana moku e	2
li toki sewi e	2
li wile len e	2
li nanpa ala e	2
li lukin kin e	2
li pilin ala sama e	2
li wile uta e	2
li kama pana ala e	2
li awen olin sin e	2
li ken kepeken pi pona mute e	2
li wile pana ala e	2
li utala kin e	2
li kama lawa e	2
li pakala mute e	2
li ken kepeken sin e	2
li poka e	2
li kama kepeken e	2
li lawa taso e	2
li luka kiwen e	2
li pona ala e	2
li pona tawa e	2
li suno sama e	2
li wile pali ala e	2
li luka lili e	2
li ken kepeken pona mute e	2
li ken toki ala e	2
li sona seli pi pona mute e	2
li kama sona ike e	2
li awen ala jo e	2
li awen ala sona e	2
li lukin pana e	2
li wile sona tan jan <prp> e	2
li ken toki ante e	2
li lon sinpin e	2
li awen ala lukin e	2
li sona a e	2
li lete e	2
li jo pi kama lukin e	2
li pini pakala e	2
li ken ala tawa weka e	2
li tawa insa e	2
li pana mute e	2
li kama monsi e	2
li kute ala kute e	2
li kama jo ike ala e	2
li ken jo lukin e	2
li ken lupa e	2
li ken ala kama lukin e	2
li sona kepeken e	2
li kepeken pi pona mute e	2
li toki pi kalama lili e	2
li pilin uta e	2
li lukin kama jo e	2
li kiwen tawa sina e	2
li jo taso e	2
li lawa mute e	2
li ken lukin pona e	2
li wile kute ala e	2
li wile lon e	2
li pali sin ala e	2
li ken kute ala e	2
li lukin ali e	2
li selo ala selo e	2
li moli ala moli e	2
li pini alasa e	2
li wile ala pakala e	2
li wile ala wile kepeken e	2
li kepeken pona mute e	2
li wile sona tan mi e	2
li pana pi tenpo ijo e	2
li kama ala kama jo e	2
li sona lawa e	2
li pilin mute e	2
li seli mute e	2
li palisa e	2
li wan mute e	2
li luka olin e	2
li sitelen toki e	2
li selo ala e	2
li ken ala ken pona e	2
li ken toki kin e	2
li ken ala ken sona e	2
li kepeken sin e	2
li wile lili e	2
li lukin ala pali e	2
li open sin e	2
li sona ala sona wawa e	2
li awen jo e	2
li kama olin wawa e	2
li ken ala anpa e	2
li wile esun e	2
li ken sona pona e	1
li pana sona wawa e	1
li pona ala lukin e	1
li kama ala lukin e	1
li ken ala sike e	1
li kama pilin ike e	1
li pakala telo e	1
li pilin pona e	1
li lukin lape e	1
li pilin nena e	1
li ken lili anpa e	1
li wile ala sin e	1
li kama tawa pali e	1
li ken lili taso kepeken e	1
li open lili e	1
li sitelen pona e	1
li pali mute e	1
li wile kama sona sin e	1
li ken ala ken kepeken e	1
li toki jaki e	1
li olin wawa e	1
li ken ala kin pilin e	1
li utala noka e	1
li utala ala utala e	1
li telo mute e	1
li pakala lili pona e	1
li pana mani ala e	1
li wawa ala e	1
li ike mute e	1
li wile mute mute e	1
li wile pali taso e	1
li moli lili e	1
li mu ala e	1
li kama pini pona e	1
li pakala ike ala e	1
li toki kama e	1
